state,ac_no,ac_name,total_evm_votes,total_postal_votes,total_votes
Bihar,224,RAFIGANJ,223428,811,224239
Bihar,225,GURUA,202740,768,203508
Bihar,226,SHERGHATI,201983,657,202640
Bihar,227,IMAMGANJ,205740,541,206281
Bihar,228,BARACHATTI,227635,600,228235
Bihar,229,BODH GAYA,230194,879,231073
Bihar,23,RIGA,216473,469,216942
Bihar,230,GAYA TOWN,166200,758,166958
Bihar,231,TIKARI,211817,1208,213025
Bihar,232,BELAGANJ,204044,975,205019
Bihar,233,ATRI,196937,708,197645
Bihar,234,WAZIRGANJ,209181,1031,210212
Bihar,235,RAJAULI,200047,654,200701
Bihar,236,HISUA,215079,866,215945
Bihar,237,NAWADA,200439,1055,201494
Bihar,238,GOBINDPUR,180245,655,180900
Bihar,239,WARSALIGANJ,200025,789,200814
Bihar,24,BATHNAHA,214656,600,215256
Bihar,240,SIKANDRA,193874,349,194223
Bihar,241,JAMUI,216798,449,217247
Bihar,242,JHAJHA,243550,316,243866
Bihar,243,CHAKAI,232627,236,232863
Bihar,25,PARIHAR,209527,450,209977
Bihar,26,SURSAND,207641,503,208144
Bihar,27,BAJPATTI,219808,433,220241
Bihar,28,SITAMARHI,215941,712,216653
Bihar,29,RUNNISAIDPUR,192926,218,193144
Bihar,3,NARKATIAGANJ,196019,672,196691
Bihar,30,BELSAND,182680,392,183072
Bihar,31,HARLAKHI,182777,660,183437
Bihar,32,BENIPATTI,174596,624,175220
Bihar,33,KHAJAULI,204035,909,204944
Bihar,34,BABUBARHI,205302,1020,206322
Bihar,35,BISFI,206648,602,207250
Bihar,36,MADHUBANI,210442,766,211208
Bihar,37,RAJNAGAR,189951,849,190800
Bihar,38,JHANJHARPUR,192580,576,193156
Bihar,39,PHULPARAS,204289,934,205223
Bihar,4,BAGAHA,224831,701,225532
Bihar,40,LAUKAHA,229689,1094,230783
Bihar,41,NIRMALI,222074,1095,223169
Bihar,42,PIPRA,221916,1103,223019
Bihar,43,SUPAUL,207938,1209,209147
Bihar,44,TRIVENIGANJ,220688,1007,221695
Bihar,45,CHHATAPUR,248059,1000,249059
Bihar,46,NARPATGANJ,241121,526,241647
Bihar,47,RANIGANJ,229891,457,230348
Bihar,48,FORBESGANJ,250819,620,251439
Bihar,49,ARARIA,241284,801,242085
Bihar,5,LAURIYA,190889,758,191647
Bihar,50,JOKIHAT,216756,629,217385
Bihar,51,SIKTI,219827,402,220229
Bihar,52,BAHADURGANJ,216321,834,217155
Bihar,53,THAKURGANJ,244826,741,245567
Bihar,54,KISHANGANJ,226404,638,227042
Bihar,55,KOCHADHAMAN,192634,691,193325
Bihar,56,AMOUR,231522,286,231808
Bihar,57,BAISI,223987,257,224244
Bihar,58,KASBA,235659,350,236009
Bihar,59,BANMANKHI,213640,292,213932
Bihar,6,NAUTAN,207162,671,207833
Bihar,60,RUPAULI,224834,261,225095
Bihar,61,DHAMDAHA,241796,269,242065
Bihar,62,PURNIA,232326,593,232919
Bihar,63,KATIHAR,197794,654,198448
Bihar,64,KADWA,212803,352,213155
Bihar,65,BALRAMPUR,276614,460,277074
Bihar,66,PRANPUR,254110,422,254532
Bihar,67,MANIHARI,237759,500,238259
Bihar,68,BARARI,228044,550,228594
Bihar,69,KORHA,237928,377,238305
Bihar,7,CHANPATIA,217706,749,218455
Bihar,70,ALAMNAGAR,256181,200,256381
Bihar,71,BIHARIGANJ,223512,234,223746
Bihar,72,SINGHESHWAR,228962,212,229174
Bihar,73,MADHEPURA,239338,252,239590
Bihar,74,SONBARSHA,205823,621,206444
Bihar,75,SAHARSA,258650,1113,259763
Bihar,76,SIMRI BAKHTIARPUR,232849,876,233725
Bihar,77,MAHISHI,202131,835,202966
Bihar,78,KUSHESHWAR ASTHAN,163429,547,163976
Bihar,79,GAURA BAURAM,167518,705,168223
Bihar,8,BETTIAH,195659,805,196464
Bihar,80,BENIPUR,187448,918,188366
Bihar,81,ALINAGAR,172225,892,173117
Bihar,82,DARBHANGA RURAL,182374,674,183048
Bihar,83,DARBHANGA,195094,1142,196236
Bihar,84,HAYAGHAT,168155,880,169035
Bihar,85,BAHADURPUR,212006,857,212863
Bihar,86,KEOTI,191974,614,192588
Bihar,87,JALE,199821,544,200365
Bihar,88,GAIGHAT,223102,677,223779
Bihar,89,AURAI,207374,546,207920
Bihar,9,SIKTA,210037,725,210762
Bihar,90,MINAPUR,219232,611,219843
Bihar,91,BOCHAHAN,218124,729,218853
Bihar,92,SAKRA,205538,570,206108
Bihar,93,KURHANI,231060,824,231884
Bihar,94,MUZAFFARPUR,187160,911,188071
Bihar,95,KANTI,231756,844,232600
Bihar,96,BARURAJ,205040,469,205509
Bihar,97,PAROO,227329,834,228163
Bihar,98,SAHEBGANJ,218937,613,219550
Bihar,99,BAIKUNTHPUR,211288,999,212287
